,driver age,driver experience,previous accidents,annual mileage (x1000 km),car manufacturing year,car age,insurance premium ($)
66,46,28,2,25,2001,24,489.05
67,35,17,5,21,2005,20,498.45
68,43,13,5,13,2005,20,497.65
69,61,31,1,11,2025,0,480.55
70,51,33,3,14,2002,23,487.4
71,27,9,2,23,1996,29,498.95
72,53,22,2,12,2025,0,486.4
73,31,13,4,12,1998,27,499.2
74,48,30,4,13,2021,4,488.45
75,65,24,2,18,2000,25,486.2
76,32,14,4,18,1997,28,499.1
77,25,7,3,22,2022,3,498.8
78,31,1,0,25,2012,13,496.05
79,40,13,3,17,2014,11,494.55
80,57,39,2,16,1997,28,483.5
81,38,20,2,19,2011,14,491.75
82,33,15,3,14,1993,32,497.3
83,62,5,4,22,1992,33,496.5
84,35,5,4,11,2018,7,498.75
85,64,2,5,18,2018,7,495.7
86,41,6,2,17,2023,2,494.05
87,43,7,1,17,2023,2,491.85
88,42,14,5,25,2017,8,496.95
89,62,28,4,13,2002,23,488.15
90,58,32,3,14,2004,21,486.1
91,46,28,4,20,2012,13,490.7
92,32,14,3,19,2015,10,495.85
93,62,26,5,25,1993,32,491.75
94,18,0,2,16,2015,10,501.2
95,42,24,4,25,1998,27,494.35
96,24,6,3,25,1994,31,502.25
97,26,8,2,15,2021,4,496.55
98,41,23,1,13,2009,16,488.65
99,18,0,3,19,2000,25,504.35
100,61,32,5,15,2004,21,488.55
101,25,3,1,15,2021,4,496.75
102,41,21,1,24,2017,8,489.0
103,28,1,0,14,2011,14,496.2
104,34,9,4,24,2006,19,499.6
105,25,4,3,14,2015,10,500.0
106,52,9,1,22,1996,29,492.4
107,52,32,0,11,2015,10,481.55
108,50,32,5,17,2014,11,489.85
109,22,4,2,19,1999,26,500.95
110,59,30,3,13,2008,17,486.05
111,56,35,1,22,2000,25,483.4
112,58,23,4,23,2002,23,490.95
113,45,14,0,25,1997,28,490.85
114,24,6,1,12,1993,32,498.7
115,26,7,4,13,2020,5,499.85
116,25,4,1,11,2017,8,496.65
117,29,11,3,16,2000,25,498.7
118,51,3,3,21,1990,35,497.95
119,50,11,3,21,2013,12,493.45
120,65,1,5,17,2020,5,495.55
121,40,22,5,21,2015,10,494.95
122,41,23,0,21,1994,31,489.05
123,54,35,3,12,2009,16,485.4
124,52,34,4,18,2000,25,488.8
125,61,25,1,24,2022,3,483.3
126,57,26,2,16,2016,9,485.5
127,39,4,4,24,2023,2,498.4
128,44,19,5,14,2004,21,495.8
129,52,10,5,15,2021,4,495.25
130,18,0,4,18,2010,15,504.8
131,52,34,5,24,1994,31,491.2
132,54,36,3,13,1995,30,486.55
133,64,5,0,13,2011,14,487.75
134,31,7,1,24,2007,18,496.2
135,20,2,0,25,2003,22,498.85
136,18,0,1,24,1999,26,501.7
137,22,4,1,21,2002,23,499.25
138,43,25,0,14,2020,5,485.1
139,31,12,4,11,2019,6,497.35
140,56,38,1,19,1992,33,483.15
141,44,17,0,18,2019,6,487.6
142,26,8,1,18,1995,30,497.8
143,32,14,2,24,2018,7,494.3
144,32,14,4,20,1997,28,499.2
145,43,11,3,16,2022,3,493.7
146,59,35,1,17,2006,19,481.95
147,30,3,2,16,2000,25,499.4
148,49,4,3,19,2002,23,496.75
149,56,36,3,13,2000,25,485.65
150,49,7,1,24,2020,5,491.3
151,21,3,0,13,2017,8,496.35
152,47,29,1,13,1995,30,487.05
153,54,8,2,20,2005,20,492.8
154,40,22,3,13,1993,32,493.75
155,56,13,1,19,2024,1,487.45
156,62,39,0,22,2015,10,478.0
157,32,14,1,14,2001,24,494.0
158,60,21,4,23,2000,25,491.35
159,46,10,0,17,2014,11,489.75
160,53,22,2,24,2007,18,488.8
161,30,0,3,25,2008,17,501.45
162,49,31,1,19,2012,13,484.65
163,24,6,0,21,2007,18,496.25
164,39,21,4,22,2015,10,494.0
165,45,27,0,17,1995,30,486.75
166,19,1,5,19,1993,32,507.55
167,59,0,4,22,2018,7,496.0
168,62,39,2,13,2023,2,479.75
169,23,5,3,25,2006,19,501.55
170,45,20,2,14,2005,20,490.7
171,45,8,1,24,1991,34,494.7
172,61,8,0,18,2023,2,486.5
173,61,9,5,16,1997,28,496.2
174,37,19,4,15,2002,23,495.95
175,47,29,4,23,1997,28,491.85
176,28,10,0,14,2019,6,492.7
177,45,24,5,18,2021,4,492.6
178,42,24,0,11,2025,0,484.95
179,56,10,1,24,2019,6,489.1
180,50,32,2,19,1990,35,487.85
181,18,0,4,11,2006,19,504.85
182,44,6,1,18,2009,16,493.4
183,30,12,2,14,2013,12,495.3
184,58,26,1,19,2011,14,484.45
185,20,2,5,24,2018,7,504.8
186,56,26,4,21,2011,14,489.45
187,23,5,0,15,1998,27,497.35
188,25,7,0,13,1999,26,496.15
189,44,24,2,19,2025,0,487.95
190,26,6,3,21,2017,8,499.35
191,54,5,5,24,2017,8,497.2
192,50,23,2,24,2010,15,488.8
193,59,32,3,19,2013,12,485.25
194,61,28,1,14,1991,34,485.0
195,41,21,5,21,1997,28,496.85
196,32,14,1,14,2016,9,492.5
197,49,27,4,22,2011,14,490.6
198,49,20,5,18,2016,9,493.5
199,41,6,3,12,2018,7,495.8
200,58,16,4,19,1992,33,493.85
201,29,11,0,23,2002,23,494.35
202,56,38,3,24,1999,26,485.7
203,19,1,2,16,2025,0,499.7
204,20,2,0,19,1998,27,499.05
205,54,27,0,18,2016,9,482.9
206,34,16,2,25,2023,2,492.85
207,19,1,5,25,1990,35,508.15
208,19,0,0,17,2021,4,497.45
209,45,27,3,23,2014,11,489.65
210,40,12,4,24,2018,7,496.3
211,54,29,0,11,1996,29,483.95
212,49,22,3,24,1992,33,492.6
213,50,18,1,22,2009,16,488.8
214,18,0,3,13,2009,16,503.15
215,36,18,4,21,2019,6,495.05
216,19,1,3,24,2024,1,501.7
217,61,28,2,12,2024,1,483.1
218,43,25,4,15,2016,9,491.55
219,49,15,5,25,2015,10,495.45
220,23,5,1,15,2003,22,498.35
221,49,18,2,15,2006,19,490.45
222,21,3,5,14,2007,18,504.9
223,28,0,3,15,2018,7,500.35
224,34,13,4,13,2009,16,497.55
225,55,1,1,22,2016,9,492.2
226,41,23,2,11,2007,18,490.25
227,22,4,5,15,1993,32,505.85
228,51,33,5,23,1990,35,492.05
229,23,3,1,19,1990,35,500.45
230,39,0,3,23,2015,10,498.85
231,28,7,1,19,2009,16,496.35
232,65,28,5,14,2012,13,488.1
233,33,15,0,13,1999,26,492.15
234,50,2,2,11,2000,25,495.45
235,26,8,1,12,1994,31,497.6
236,23,5,5,18,1990,35,505.8
237,33,9,3,11,2006,19,497.65
238,46,18,5,18,2011,14,495.2
239,20,2,3,23,2023,2,501.25
240,37,19,1,17,2018,7,489.95
241,53,22,3,25,1993,32,491.75
242,36,18,4,18,1994,31,497.4
243,43,25,4,22,2000,25,493.5
244,20,2,4,16,2010,15,503.7
245,36,18,0,22,2024,1,488.6
246,37,7,1,24,2001,24,495.6
247,49,0,5,25,2015,10,499.95
248,24,2,5,25,2008,17,505.05
249,58,23,0,19,1996,29,485.35
250,50,22,3,13,1996,29,491.45
251,57,7,0,20,2015,10,488.5
252,56,36,3,14,1994,31,486.3
253,35,2,3,23,2010,15,499.55
254,57,32,2,16,2003,22,485.0
255,18,0,5,18,1993,32,508.0
256,28,7,4,15,2012,13,500.35
257,45,27,3,13,2009,16,489.65
258,42,24,2,16,2004,21,490.3
259,40,22,5,14,2018,7,494.3
260,48,23,4,19,1997,28,493.25
261,47,13,3,23,2008,17,494.05
262,59,31,3,13,2017,8,484.85
263,52,15,0,14,2016,9,486.7
264,24,3,0,17,1993,32,498.35
265,33,15,5,17,2004,21,499.35
266,43,20,4,22,2024,1,492.6
267,65,13,3,22,1990,35,492.2
268,19,1,5,14,1992,33,507.4
269,18,0,5,16,2013,12,505.9
270,65,6,1,22,2016,9,488.7
271,29,9,0,23,2025,0,492.65
272,22,4,4,13,2023,2,501.25
273,54,32,3,16,2018,7,485.6
274,49,22,5,22,2013,12,493.4
275,26,8,3,12,2013,12,498.7
276,58,18,1,18,1993,32,488.6
277,52,18,4,12,1992,33,494.1
278,36,18,5,21,2023,2,496.15
279,65,28,3,17,2012,13,485.25
280,33,15,0,19,2012,13,491.15
281,20,1,1,11,1994,31,500.85
282,37,0,4,18,2020,5,500.0
283,41,4,1,17,1995,30,495.95
284,50,19,0,16,1999,26,487.7
285,41,10,4,16,1996,29,498.5
286,28,1,1,16,2010,15,497.9
287,25,2,2,19,2009,16,499.95
288,53,22,0,12,1992,33,486.7
289,55,11,0,11,2011,14,487.65
290,57,19,0,23,1993,32,487.25
291,37,4,2,22,2017,8,496.3
292,52,34,2,16,2001,24,485.6
293,65,37,3,20,2025,0,481.4
294,42,24,5,21,1994,31,496.05
295,52,8,1,18,2002,23,491.9
296,42,24,3,13,2012,13,490.85
297,46,28,1,22,2019,6,485.6
298,35,17,5,20,2014,11,497.5
299,63,23,2,11,2016,9,484.95
300,35,16,5,19,2003,22,498.85
301,19,1,2,23,2025,0,500.05
302,52,29,5,23,2005,20,491.55
303,33,15,3,11,2011,14,495.35
304,58,31,4,13,2010,15,487.25
305,53,16,3,18,2010,15,491.5
306,50,16,1,24,1997,28,490.7
307,21,3,3,13,2005,20,502.05
308,50,8,0,23,2020,5,489.25
309,31,13,1,14,1999,26,494.7
310,38,1,5,18,2021,4,500.9
311,65,24,1,11,2023,2,482.05
312,37,19,4,23,1998,27,496.75
313,25,7,2,23,2006,19,498.95
314,24,6,5,16,2000,25,504.2
315,20,2,1,11,2021,4,497.85
316,34,16,5,24,1999,26,499.7
317,50,28,5,11,2011,14,491.05
318,65,33,5,24,2006,19,487.7
319,29,11,2,18,1993,32,498.0
320,39,21,3,21,2014,11,492.55
321,39,10,5,14,2010,15,498.9
322,63,5,0,22,1990,35,490.5
323,47,17,4,11,2014,11,493.15
324,55,20,2,20,2025,0,487.0
325,55,35,1,17,2006,19,482.75
326,62,40,2,15,2013,12,480.55
327,25,7,1,15,1991,34,498.55
328,44,26,2,11,2004,21,489.05
329,44,16,1,24,2021,4,489.5
330,51,33,5,20,1995,30,491.4
331,38,20,3,21,1990,35,495.45
332,47,29,1,16,2012,13,485.5
333,50,11,1,24,2006,19,491.3
334,45,22,0,19,2023,2,485.55
335,64,21,1,19,2018,7,484.05
336,50,20,0,18,1998,27,487.6
337,22,4,4,15,2002,23,503.45
338,65,30,5,11,1995,30,489.05
339,36,5,0,19,1995,30,495.25
340,21,3,3,11,2009,16,501.55
341,52,34,5,18,1992,33,491.1
342,34,16,0,15,2006,19,491.05
343,61,11,5,13,2001,24,495.05
344,45,6,5,21,1990,35,501.25
345,47,9,5,17,2006,19,498.15
346,46,16,4,17,1992,33,496.15
347,63,25,3,19,2015,10,486.35
348,23,5,2,17,2004,21,499.85
349,52,27,2,23,2025,0,485.65
350,58,1,0,21,2021,4,489.55
351,54,0,5,24,2021,4,498.3
352,41,23,0,13,1993,32,488.75
353,46,25,4,21,2007,18,492.15
354,63,28,4,23,2008,17,487.85
355,48,20,1,25,2024,1,487.25
356,52,10,4,24,2003,22,496.0
357,50,32,1,23,2022,3,483.35
358,38,10,3,11,2003,22,496.65
359,49,31,0,18,2023,2,482.0
360,40,22,3,22,1993,32,494.2
361,50,32,4,13,2013,12,488.25
362,20,2,3,22,2018,7,501.7
363,35,17,3,18,2008,17,495.0
364,42,23,3,18,1995,30,493.1
365,59,21,4,23,2022,3,489.35
366,48,4,5,15,2008,17,499.15
367,20,2,3,23,1990,35,504.55
368,57,35,1,22,1994,31,483.8
369,63,19,4,23,2016,9,489.75
370,41,18,3,11,2005,20,493.45
371,49,31,5,23,1995,30,492.55
372,64,16,4,20,2002,23,491.7
373,39,21,2,17,2024,1,489.85
374,40,8,5,22,2008,17,499.9
375,19,1,1,20,2001,24,500.8
376,44,1,3,15,2005,20,498.15
377,59,8,2,18,1999,26,492.3
378,19,1,2,19,2014,11,500.95
379,43,25,4,21,2009,16,492.55
380,34,16,2,24,2020,5,493.1
381,57,0,1,17,1993,32,494.15
382,50,24,1,24,2012,13,486.8
383,26,8,0,23,1991,34,496.95
384,60,24,1,25,2011,14,484.95
385,65,38,5,17,1997,28,486.75
386,56,34,2,11,1996,29,485.05
387,46,2,1,25,2003,22,495.15
388,59,36,4,14,1992,33,487.4
389,43,25,0,12,2005,20,486.5
390,52,34,2,12,2008,17,484.7
391,42,24,0,12,2007,18,486.8
392,41,11,2,14,2005,20,494.2
393,30,12,4,24,1997,28,500.4
394,24,6,0,11,2022,3,494.25
395,53,16,3,25,2001,24,492.75
396,62,9,5,14,2000,25,495.6
397,37,11,5,12,1994,31,500.5
398,18,0,2,15,2016,9,501.05
399,25,7,3,13,2001,24,500.45
400,63,18,0,25,2006,19,485.15
401,33,7,3,22,1995,30,499.9
402,31,13,3,18,2022,3,495.6
403,29,11,0,14,1994,31,494.7
404,40,16,4,11,2017,8,494.55
405,32,14,3,11,2003,22,496.65
406,45,27,3,22,1994,31,491.6
407,51,15,4,20,2022,3,492.6
408,19,1,3,13,2008,17,502.75
409,49,7,3,25,2011,14,495.25
410,40,22,3,19,1994,31,493.95
411,39,17,5,17,1991,34,498.85
412,42,24,1,12,2019,6,487.1
413,39,11,4,25,1993,32,499.35
414,39,14,3,23,2022,3,493.95
415,59,25,5,19,2002,23,491.45
416,23,5,4,20,2009,16,502.5
417,32,14,2,12,1996,29,495.9
418,60,31,2,13,2004,21,484.45
419,54,9,3,21,2012,13,493.35
420,50,15,5,23,2003,22,496.35
421,25,6,5,20,2012,13,503.0
422,61,16,4,24,2008,17,491.9
423,61,22,4,12,2018,7,488.5
424,22,4,5,13,2009,16,504.15
425,56,20,4,16,2018,7,490.3
426,21,3,5,19,2013,12,504.55
427,23,5,1,19,2007,18,498.15
428,62,13,5,17,1999,26,494.65
429,49,14,2,22,1997,28,492.9
430,47,6,4,13,2015,10,496.45
431,64,8,5,14,2018,7,493.7
432,52,7,5,16,1999,26,498.4
433,57,22,4,21,2006,19,490.95
434,33,15,1,15,1991,34,494.55
435,30,12,1,12,1995,30,495.5
436,59,30,4,23,1994,31,489.45
437,47,29,0,16,2017,8,483.5
438,36,18,4,13,1994,31,497.15
439,34,16,4,24,2007,18,497.4
440,36,17,1,18,2015,10,491.1
441,45,27,1,12,2009,16,486.6
442,43,16,4,11,2016,9,494.05
443,54,13,4,19,2001,24,494.65
444,43,25,4,24,1996,29,494.0
445,40,22,1,22,1992,33,491.3
446,26,8,4,13,1999,26,501.65
447,29,11,4,21,2023,2,498.15
448,18,0,3,11,2014,11,502.55
449,18,0,0,17,2024,1,497.35
450,64,39,2,23,2005,20,481.65
451,51,25,0,25,1991,34,486.95
452,49,22,3,20,2013,12,490.3
453,65,38,2,15,1999,26,481.95
454,42,14,4,15,2011,14,495.55
455,57,3,3,24,2015,10,494.4
456,62,28,4,11,2016,9,486.65
457,18,0,1,25,2018,7,499.85
458,33,15,5,25,2009,16,499.25
459,56,12,3,19,2016,9,491.55
460,22,4,1,17,2009,16,498.35
461,39,21,3,18,2008,17,493.0
462,46,15,3,19,2009,16,493.35
463,20,1,1,16,2024,1,498.1
464,29,11,2,22,1991,34,498.4
465,43,25,0,15,2019,6,485.25
466,33,15,4,16,2023,2,495.9
467,54,12,3,21,2011,14,492.55
468,39,12,4,12,1992,33,498.5
469,46,17,5,14,1995,30,496.9
470,31,13,1,13,2004,21,494.15
471,45,27,4,23,2016,9,490.95
472,22,4,1,17,1999,26,499.35
473,64,38,4,19,1998,27,485.45
474,47,28,0,15,2022,3,483.25
475,63,28,0,16,2021,4,480.2
476,22,4,0,20,1995,30,498.4
477,29,9,0,24,2025,0,492.7
478,33,15,0,22,1991,34,493.4
479,43,24,0,22,2018,7,486.0
480,43,25,1,12,1993,32,489.2
481,65,19,3,13,1990,35,489.95
482,38,4,4,13,2008,17,499.55
483,56,0,0,22,2015,10,490.9
484,53,29,1,22,2014,11,484.4
485,50,2,1,25,1999,26,494.75
486,47,13,1,19,2004,21,491.25
487,54,29,3,25,2011,14,487.65
488,40,3,4,17,2010,15,499.45
489,27,9,3,18,2011,14,498.7
490,22,4,2,21,2025,0,498.45
491,53,24,1,20,2023,2,484.9
492,51,0,2,21,2019,6,494.45
493,48,14,5,19,2014,11,495.75
494,27,8,0,16,2017,8,493.8
495,36,14,0,14,1990,35,492.8
496,49,23,3,22,1993,32,492.1
497,18,0,4,11,1996,29,505.85
498,22,4,2,18,1998,27,501.0
499,62,36,4,17,2025,0,483.65
500,21,3,3,12,2008,17,501.7
501,33,5,0,18,1990,35,496.3
502,41,23,4,22,1999,26,494.6
503,33,15,4,15,2025,0,495.65
504,19,1,0,17,1998,27,499.45
505,45,12,2,14,2021,4,491.5
506,49,31,0,15,2021,4,482.05
507,44,24,4,18,1995,30,493.9
508,37,6,2,11,2006,19,496.25
509,41,3,2,11,1999,26,497.05
510,29,7,0,25,2016,9,494.25
511,52,19,4,14,2024,1,490.7
512,50,28,3,13,2010,15,488.25
513,50,9,4,23,2014,11,495.55
514,60,33,1,20,2017,8,481.4
515,54,25,5,22,2004,21,492.4
516,29,11,3,12,1993,32,499.2
517,20,2,2,22,2018,7,500.2
518,18,0,3,13,1998,27,504.25
519,50,4,2,21,2016,9,493.75
520,57,4,2,25,2015,10,492.65
521,27,9,3,25,2008,17,499.35
522,60,8,2,21,2017,8,490.45
523,61,34,2,24,2006,19,483.7
524,46,19,1,21,2009,16,489.25
525,30,12,4,11,2012,13,498.25
526,29,11,4,11,2021,4,497.85
527,48,16,5,16,2022,3,494.2
528,63,23,5,15,1994,31,491.85
529,19,1,1,18,2023,2,498.5
530,52,31,5,12,2000,25,490.9
531,40,22,3,14,1992,33,493.9
532,34,16,0,18,2022,3,489.6
533,43,12,0,22,2000,25,491.4
534,25,7,0,16,2005,20,495.7
535,46,8,1,11,2007,18,492.25
536,43,3,1,25,2019,6,493.85
537,27,9,2,14,1999,26,498.2
538,43,25,0,11,2007,18,486.25
539,51,33,3,23,2008,17,487.25
540,58,10,5,12,2025,0,493.5
541,24,6,3,15,2002,23,500.95
542,21,2,5,24,1992,33,507.2
543,62,27,0,18,1999,26,483.0
544,28,10,0,18,1990,35,495.8
545,46,8,0,21,2016,9,490.35
546,53,2,1,13,1997,28,493.75
547,42,24,5,21,2006,19,494.85
548,38,20,1,23,1998,27,491.75
549,53,11,1,14,1995,30,491.3
550,27,8,4,20,2014,11,500.3
551,54,14,3,21,2017,8,491.35
552,26,8,3,24,2022,3,498.4
553,41,23,2,16,1998,27,491.4
554,52,4,1,21,2007,18,492.75
555,52,10,5,21,2010,15,496.65
556,65,33,4,20,1991,34,487.5
557,53,23,4,13,2025,0,489.15
558,35,14,3,12,2004,21,496.0
559,56,37,1,16,2017,8,480.8
560,49,7,2,21,2007,18,493.95
561,41,4,1,23,2023,2,493.45
562,40,22,0,25,2011,14,488.05
563,49,17,1,15,2000,25,489.85
564,54,5,0,24,2002,23,491.2
565,29,11,0,20,1993,32,495.1
566,30,12,2,15,2011,14,495.55
567,40,22,5,20,1996,29,496.8
568,42,4,3,23,2013,12,497.25
569,52,12,1,15,1993,32,491.45
570,58,16,0,20,2017,8,485.4
571,47,29,1,22,2004,21,486.6
572,34,16,5,15,1990,35,500.15
573,37,19,3,13,1992,33,495.35
574,65,2,5,17,2003,22,496.95
575,42,24,3,16,1990,35,493.2
576,39,21,4,14,2010,15,494.1
577,30,12,3,12,2018,7,496.2
578,36,18,2,22,1994,31,494.6
579,53,12,5,19,1999,26,496.85
580,29,11,0,11,2017,8,492.25
581,58,5,4,23,2010,15,495.55
582,36,18,2,23,1996,29,494.45
583,29,11,1,21,1992,33,496.75
584,26,8,5,25,2009,16,502.75
585,24,6,0,24,2008,17,496.3
586,45,27,3,14,2024,1,488.2
587,31,13,0,11,1993,32,493.65
588,48,30,1,23,1994,31,487.15
589,36,12,4,16,1990,35,499.5
590,64,24,4,14,1993,32,489.9
591,33,15,5,15,2001,24,499.55
592,22,4,4,15,2016,9,502.05
593,52,34,5,19,2012,13,489.15
594,29,6,5,11,2014,11,501.55
595,42,4,5,23,2010,15,500.55
596,38,20,3,12,2013,12,492.7
597,53,22,2,23,2014,11,488.05
598,40,9,5,16,2021,4,498.0
599,33,15,5,15,2021,4,497.55
600,56,29,2,21,1994,31,487.25
601,62,38,0,17,2025,0,477.05
602,59,30,5,13,2005,20,489.35
603,56,17,3,13,2022,3,489.15
604,31,13,4,20,2010,15,498.4
605,48,1,4,12,1998,27,499.4
606,22,4,1,23,1995,30,500.05
607,52,12,1,13,2024,1,488.25
608,40,22,4,20,2011,14,493.8
609,46,11,4,11,1994,31,497.15
610,60,38,3,15,2012,13,483.15
611,28,1,2,24,2006,19,500.2
612,35,17,1,25,2001,24,493.05
613,64,12,2,22,2012,13,489.0
614,29,11,3,15,2005,20,498.15
615,26,8,4,22,1992,33,502.8
616,27,9,5,21,2019,6,501.05
617,61,39,2,17,2011,14,481.35
618,34,16,4,14,1998,27,497.8
619,55,33,4,13,2018,7,486.45
620,24,6,0,11,2012,13,495.25
621,63,34,2,22,2002,23,483.6
622,30,5,5,25,2021,4,501.65
623,57,18,2,18,2012,13,488.4
624,59,29,4,23,2006,19,488.55
625,26,6,5,13,2010,15,502.65
626,44,9,3,23,1991,34,497.55
627,19,1,0,25,1995,30,500.15
628,22,4,4,12,2007,18,502.8
629,46,28,1,21,2019,6,485.55
630,54,27,1,14,2011,14,484.7
631,55,14,0,13,2022,3,485.75
632,36,18,3,23,2019,6,493.65
633,25,7,4,11,2006,19,501.35
634,65,28,2,13,2021,4,482.65
635,62,21,0,22,2003,22,484.6
636,18,0,3,12,1999,26,504.1
637,39,19,2,18,2025,0,490.4
638,34,16,1,16,2023,2,490.9
639,24,6,1,19,1998,27,498.55
640,42,3,2,18,2017,8,495.4
641,62,26,0,20,2000,25,483.3
642,21,3,1,13,2003,22,499.25
643,53,11,4,15,2008,17,494.55
644,23,5,5,17,2004,21,504.35
645,48,16,2,15,2017,8,490.15
646,36,9,2,18,2013,12,495.2
647,61,0,1,22,1997,28,493.2
648,56,21,0,15,1998,27,485.95
649,44,25,4,11,2022,3,490.55
650,27,9,0,15,2022,3,492.95
651,43,13,3,14,2008,17,494.4
652,36,18,3,16,1992,33,496.0
653,56,11,5,13,1999,26,496.25
654,20,2,1,25,1990,35,501.65
655,62,34,1,21,2018,7,480.65
656,30,11,1,15,2023,2,493.15
657,45,6,5,12,2002,23,499.6
658,37,19,3,21,1990,35,495.95
659,45,10,0,16,2023,2,489.0
660,25,7,5,23,2018,7,502.25
661,58,5,5,25,2002,23,497.95
662,56,14,0,22,2018,7,486.4
663,18,0,1,16,2013,12,499.9
664,20,2,4,15,2015,10,503.15
665,30,12,0,16,2006,19,493.1
666,45,25,3,21,1996,29,491.95
667,42,24,2,17,2002,23,490.55
668,50,32,2,22,1994,31,487.6
669,55,28,5,15,2015,10,489.85
670,23,3,2,11,1992,33,501.35
671,61,16,4,18,1996,29,492.8
672,62,34,1,14,1990,35,483.1
673,49,12,3,19,2006,19,493.95
674,62,40,4,24,2014,11,483.9
675,64,38,3,20,1992,33,484.6
676,38,14,3,22,2004,21,495.9
677,33,15,1,16,2018,7,491.9
678,38,20,5,11,2021,4,494.85
679,28,10,2,13,2015,10,496.05
680,54,31,1,13,2005,20,484.05
681,53,1,4,20,2014,11,497.2
682,52,13,5,22,2017,8,495.1
683,36,18,4,22,1998,27,497.2
684,37,19,5,14,1990,35,498.6
685,35,10,4,16,2018,7,497.5
686,64,26,1,25,2011,14,483.55
687,58,2,5,17,2005,20,498.15
688,31,13,5,20,1996,29,501.3
689,32,14,3,14,2003,22,496.8
690,48,28,3,16,2018,7,488.0
691,18,0,0,21,2008,17,499.15
692,20,2,4,11,2008,17,503.65
693,33,15,3,24,1991,34,498.0
694,40,19,0,18,2004,21,489.3
695,28,5,3,17,1992,33,501.55
696,29,11,4,25,2000,25,500.65
697,27,4,5,21,2019,6,502.55
698,49,2,2,21,2007,18,495.45
699,33,0,4,19,1991,34,503.75
700,25,7,1,13,2021,4,495.45
701,55,14,3,12,1997,28,492.7
702,29,11,3,11,2011,14,497.35
703,41,23,5,13,1995,30,496.05
704,45,24,1,15,2001,24,488.45
705,25,7,5,24,2025,0,501.6
706,45,11,1,21,2004,21,492.35
707,53,17,2,12,2017,8,488.7
708,43,14,3,22,2007,18,494.6
709,25,7,3,13,1991,34,501.45
710,45,26,2,25,2002,23,489.75
711,45,7,0,25,2004,21,492.25
712,54,24,5,25,2009,16,492.35
713,58,16,2,14,2018,7,488.0
714,53,28,5,17,2018,7,490.05
715,44,7,4,23,1992,33,499.55
716,34,14,3,13,2008,17,495.85
717,26,8,5,25,1992,33,504.45
718,50,6,1,19,2003,22,492.85
719,37,2,5,18,1993,32,503.6
720,30,12,4,14,2000,25,499.6
721,45,23,3,23,2020,5,490.25
722,65,2,2,11,2021,4,490.35
723,46,19,4,11,2016,9,492.55
724,30,12,3,11,2019,6,496.05
725,63,24,5,11,1991,34,491.65
726,52,29,0,18,1998,27,484.5
727,23,5,0,13,2017,8,495.35
728,35,6,1,25,2020,5,494.45
729,22,4,3,16,2023,2,499.9
730,64,19,0,13,2004,21,484.25
